throughput	time
85398.267	2019-08-26T00:34:33.000Z
66635.067	2019-08-26T00:35:03.000Z
63088.833	2019-08-26T00:35:33.000Z
69364.033	2019-08-26T00:36:03.000Z
76879.033	2019-08-26T00:36:33.000Z
67036.333	2019-08-26T00:37:03.000Z
60815.133	2019-08-26T00:37:33.000Z
69011.3	2019-08-26T00:38:03.000Z
64618.1	2019-08-26T00:38:33.000Z
81739.9	2019-08-26T00:39:03.000Z
78602.5	2019-08-26T00:39:33.000Z
81480.367	2019-08-26T00:40:03.000Z
83273.733	2019-08-26T00:40:33.000Z
81506.7	2019-08-26T00:41:03.000Z
79953.4	2019-08-26T00:41:33.000Z
77236.8	2019-08-26T00:42:03.000Z
89985.167	2019-08-26T00:42:33.000Z
78457.866	2019-08-26T00:43:03.000Z
69467.534	2019-08-26T00:43:33.000Z
81010.5	2019-08-26T00:44:03.000Z
81516.1	2019-08-26T00:44:33.000Z
80147	2019-08-26T00:45:03.000Z
78243.533	2019-08-26T00:45:33.000Z
76967.633	2019-08-26T00:46:03.000Z
75409.6	2019-08-26T00:46:33.000Z
85838.434	2019-08-26T00:47:03.000Z
66644.034	2019-08-26T00:47:33.000Z
71280.7	2019-08-26T00:48:03.000Z
71268.933	2019-08-26T00:48:33.000Z
90694.567	2019-08-26T00:49:03.000Z
84408.833	2019-08-26T00:49:33.000Z
75327.233	2019-08-26T00:50:03.000Z
82940.933	2019-08-26T00:50:33.000Z
79037.8	2019-08-26T00:51:03.000Z
81896.667	2019-08-26T00:51:33.000Z
84159.134	2019-08-26T00:52:03.000Z
66234.366	2019-08-26T00:52:33.000Z
73051.834	2019-08-26T00:53:03.000Z
80151.434	2019-08-26T00:53:33.000Z
97631.766	2019-08-26T00:54:03.000Z
73600.134	2019-08-26T00:54:33.000Z
64931.8	2019-08-26T00:55:03.000Z
77896.167	2019-08-26T00:55:33.000Z
79559.7	2019-08-26T00:56:03.000Z
80231.1	2019-08-26T00:56:33.000Z
64453.3	2019-08-26T00:57:03.000Z
86280.034	2019-08-26T00:57:33.000Z
84746.633	2019-08-26T00:58:03.000Z
82755.1	2019-08-26T00:58:33.000Z
68873.067	2019-08-26T00:59:03.000Z
63432.733	2019-08-26T00:59:33.000Z
77041.4	2019-08-26T01:00:03.000Z
78121.3	2019-08-26T01:00:33.000Z
67803.266	2019-08-26T01:01:03.000Z
69016.266	2019-08-26T01:01:33.000Z
73283.967	2019-08-26T01:02:03.000Z
80380.467	2019-08-26T01:02:33.000Z
85363.9	2019-08-26T01:03:03.000Z
